Image ID,Post ID,Ticket ID,Summary ,Image URL,Image Identifier,post Longitude,Post Latitude,main category,Cat option 1,Cat option 2,Cat option 3,Cat option 4,url working
10,2916,NGKWA708433,  This image shows the current unattractive state of Gaa-Akanbi are of the Ilorin Metropolis and no one is even talking about it. There are fears it will get worse than this and there's no doubting that. It isn't cool at all and we are pleading on behalf of the people for government intervention. ,http://rrci.rarare.com/photos/2916.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkxNi4xLm1vYmlsZS5qcGVn,4.579655,8.45905,abandoned wasteland,public locale is dirty,"pollution - streams, rivers, lakes",abandoned wasteland,risk of disease outbreak,TRUE
11,2915,NGLAG335297,The state of the Ikorodu Road at Ketu in Lagos is becoming worryingly worse and it's causing more traffic than normal. Please someone should just signal its repair.,http://rrci.rarare.com/photos/2915.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkxNS4xLm1vYmlsZS5qcGVn,3.513751,6.629782,defective roadworks,potholes - safety hazard,abandoned car,defective public transport,illegal road block,TRUE
12,2914,NGLAG205622,The condition of the Iyana-Ilogbo road along Lagos-Abeokuta Expressway is not encouraging at all. Efforts should be made to ensure that it is noticed and fixed asap.,http://rrci.rarare.com/photos/2914.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkxNC4xLm1vYmlsZS5qcGVn,3.393698,6.550877,defective roadworks,potholes - safety hazard,abandoned car,defective public transport,illegal road block,TRUE
13,2913,NGKWA939231,Malete is surely a home of dump sites and this particular one that lies just after Sao community in Kwara supports that motion. It's in such a bad state and needs attention because it's a major source of air pollution.,http://rrci.rarare.com/photos/2913.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkxMy4xLm1vYmlsZS5qcGVn,4.562443,8.9848,waste management,poor healthcare facilities,burst water pipe,lack of healthcare in my locale,public locale is dirty,TRUE
14,2912,NGLAG606249,"There's a portion of road just before Isolo along Mile-2, Lagos that has been in an ill condition for a while. It contributes to the heavy traffic that always disrupts vehicular movements on the Mile-2 axis and it needs to be fixed.",http://rrci.rarare.com/photos/2912.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkxMi4xLm1vYmlsZS5qcGVn,3.319792,6.465934,defective roadworks,potholes - safety hazard,abandoned car,defective public transport,illegal road block,TRUE
15,2911,NGLAG909488,"The Lagos-Badagry Expressway has, for a long time, been in a mess. Motorists have complained about the matter too but a definite response hasn't been been derived yet. It should be put into consideration and fixed.",http://rrci.rarare.com/photos/2911.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkxMS4xLm1vYmlsZS5qcGVn,3.365721,6.475823,defective roadworks,potholes - safety hazard,abandoned car,defective public transport,illegal road block,TRUE
16,2910,NGLAG814848,"Just like plenty others, this school that is meant for learning which lies in Offa, Kwara State is in such shambles that it would be difficult to successfully transfer knowledge from one mind to another. It should be looked into.",http://rrci.rarare.com/photos/2910.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkxMC4xLm1vYmlsZS5qcGVn,3.391758,6.466576,education,education facilities,poor healthcare facilities,lack of healthcare in my locale,customer service,TRUE
17,2901,NGLAG715833," Abandoned waste land and rubbish on street: Here is the picture of an abandoned waste land around Tokunbo street, Ebute metta Lagos. This area needs attention.",http://rrci.rarare.com/photos/2901.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkwMS4xLm1vYmlsZS5qcGVn,3.38352,6.499933,abandoned wasteland,public locale is dirty,"pollution - streams, rivers, lakes",abandoned wasteland,risk of disease outbreak,TRUE
18,2900,NGLAG827113,Just on Herbert Macaulay road Lagos we have found the an abandoned vehicle. Something has to be done to remove this vehicle here.,http://rrci.rarare.com/photos/2900.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkwMC4xLm1vYmlsZS5qcGVn,3.380802,6.495047,abandoned car,abandoned truck,obstruction of public road,traffic jam,potholes - safety hazard,TRUE
19,2899,NGLAG848741,"Just on razaq balogun street, we have an abandoned vehicle.  Reports says that the vehicle could have been there for at least 8 years.",http://rrci.rarare.com/photos/2899.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg5OS4xLm1vYmlsZS5qcGVn,3.361249,6.495963,abandoned car,abandoned truck,obstruction of public road,traffic jam,potholes - safety hazard,TRUE
20,2898,NGLAG292894,Illegal Disposal of Waste  This is an illegal disposal of Waste inside the drainage system meant for water passage which have blocked the drainage system. This should be highly discouraged to avoid flood issues in the state.,http://rrci.rarare.com/photos/2898.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg5OC4xLm1vYmlsZS5qcGVn,3.384168,6.539173,rubbish on the street,risk of disease outbreak,waste management,public locale is dirty,dead animal,TRUE
21,2897,NGLAG103677,"Pothole at Palmgroove.    This is pothole at Palmgroove road close to access bank, Lagos. I urge the road maintenance team to kindly fix it up to help avoid any impeding danger on the road.",http://rrci.rarare.com/photos/2897.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg5Ny4xLm1vYmlsZS5qcGVn,3.367415,6.540984,potholes - safety hazard,abandoned car,defective public transport,illegal road block,defective roadworks,TRUE
22,2896,NGANA172210,"This is an illegal waste disposal at New parts Flyover, Nkpor in Anambra state. The authority should set up some strict rules to reduce such practice.",http://rrci.rarare.com/photos/2896.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg5Ni4xLm1vYmlsZS5qcGVn,6.833425,6.153109,waste management,poor healthcare facilities,burst water pipe,lack of healthcare in my locale,public locale is dirty,TRUE
23,2895,NGLAG571122,"The picture captures a pothole located at New parts market, Nkpor in Anambra state. The pothole should be taken care of to avoid impeding danger that may result from it. Also to prevent more expansion of the hole.",http://rrci.rarare.com/photos/2895.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg5NS4xLm1vYmlsZS5qcGVn,3.367163,6.508759,potholes - safety hazard,abandoned car,defective public transport,illegal road block,defective roadworks,TRUE
24,2894,NGANA299145,"This is a block drainage system at New parts Nkpor, Anambra state. This can lead to flooding in the area because no free passage for water. I urge the waste management team to help resolve the issue",http://rrci.rarare.com/photos/2894.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg5NC4xLm1vYmlsZS5qcGVn,6.833425,6.153109,waste management,poor healthcare facilities,burst water pipe,lack of healthcare in my locale,public locale is dirty,TRUE
25,2893,NGOGU163463,"This picture shows an abandoned car at Arepo Estate, Ogun state. According to the resident, the car has been abandoned here for sometime now close to 7 months. ",http://rrci.rarare.com/photos/2893.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg5My4xLm1vYmlsZS5qcGVn,3.434413,6.684169,abandoned car,abandoned truck,obstruction of public road,traffic jam,potholes - safety hazard,TRUE
26,2892,NGLAG462131,"This is an abandoned wasteland at Arepo, Ogun state. This create a poor hygienic environment for the resident of Arepo. The waste management team should do something about it.",http://rrci.rarare.com/photos/2892.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg5Mi4xLm1vYmlsZS5qcGVn,3.364488,6.485829,abandoned wasteland,public locale is dirty,"pollution - streams, rivers, lakes",abandoned wasteland,risk of disease outbreak,TRUE
27,2891,NGLAG818441,"This is a stagnant water at Arepo Estate, Ogun state. Stagnant water being one of the major challenges of Ogun due to poor drainage system. I call on State government to help find lasting solutions to the above problem.",http://rrci.rarare.com/photos/2891.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg5MS4xLm1vYmlsZS5qcGVn,3.363874,6.474263,stagnant water pool,flooding,lack of healthcare in my locale,risk of disease outbreak,"pollution - streams, rivers, lakes",TRUE
28,2890,NGLAG414193,"This is a car abandoned on the Street of Isheri, Ogun state. It has been on this particular spot for long. I'm reporting this to draw the attention of the agency incharge to help resolve the issue.",http://rrci.rarare.com/photos/2890.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg5MC4xLm1vYmlsZS5qcGVn,3.367627,6.639937,abandoned car,abandoned truck,obstruction of public road,traffic jam,potholes - safety hazard,TRUE
29,2889,NGLAG304593,"The transformer that's supposed to be for the usage of Ajanaku residents in Tanke, Ilorin has gone bad and even fallen off its base. It's functionality needs to be restored.",http://rrci.rarare.com/photos/2889.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg4OS4xLm1vYmlsZS5qcGVn,3.330042,6.441337,defective transformer,electricity,street light,defective traffic light,poor mobile network service,TRUE
30,2888,NGLAG349625,Residents have started dumping refuse on the K-DORMS road that's in Oke-odo. They engage in such acts in the middle of the night and won't stop until action is taken. And it keep on littering the public environment causing odour. ,http://rrci.rarare.com/photos/2888.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg4OC4xLm1vYmlsZS5qcGVn,3.330042,6.441337,public locale is dirty,open sewage pits,poor healthcare facilities,burst water pipe,lack of healthcare in my locale,TRUE
31,2887,NGKWA337448,There lies a dump site at Stella Marris junction just off University road. Chances are that it will grow higher if not taken care of. So we’re calling the government attention towards it,http://rrci.rarare.com/photos/2887.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg4Ny4xLm1vYmlsZS5qcGVn,4.632132,8.47592,abandoned wasteland,public locale is dirty,"pollution - streams, rivers, lakes",abandoned wasteland,risk of disease outbreak,TRUE
32,2886,NGKWA458632,"A wasteland has been left abandoned just lying close to a defective building at Oke-odo just before the Oke-odo central market, Ilorin.",http://rrci.rarare.com/photos/2886.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg4Ni4xLm1vYmlsZS5qcGVn,4.613537,8.481393,abandoned wasteland,public locale is dirty,"pollution - streams, rivers, lakes",abandoned wasteland,risk of disease outbreak,TRUE
33,2885,NGKWA114319,"A truck has been abandoned for some time now at Oke-oba, Off University road, Ilorin and it's lying just close to the road on the street. It should be moved away.",http://rrci.rarare.com/photos/2885.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg4NS4xLm1vYmlsZS5qcGVn,4.628061,8.48027,abandoned truck,abandoned truck,obstruction of public road,traffic jam,potholes - safety hazard,TRUE
34,2884,NGKWA336360,The road is said to have been washed away by erosion and hasn't been attended to yet. It need attention urgently as it has been divided into two. ,http://rrci.rarare.com/photos/2884.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg4NC4xLm1vYmlsZS5qcGVn,4.514978,8.455991,defective roadworks,potholes - safety hazard,abandoned car,defective public transport,illegal road block,TRUE
35,2883,NGLAG318327,Another bad road has been spotted and this one is none other than the Ilorin-Egbe-Kabba road. Accidents wouldn't even take long to happen on roads like this and it need to be fix as quick as possible. ,http://rrci.rarare.com/photos/2883.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg4My4xLm1vYmlsZS5qcGVn,3.338248,6.447561,defective roadworks,potholes - safety hazard,abandoned car,defective public transport,illegal road block,TRUE
36,2882,NGLAG518026,The Kabba-Ilorin road which links Ilorin and Kogi is in a bad state and vulnerable to roadside accidents. It's a really ugly scene.,http://rrci.rarare.com/photos/2882.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg4Mi4xLm1vYmlsZS5qcGVn,3.342177,6.449889,defective roadworks,potholes - safety hazard,abandoned car,defective public transport,illegal road block,TRUE
37,2880,NGKWA415270,"The transformer at the disposal of the residents of Owode-onirin/Nasfat community, Ilorin South LGA, Kwara State is faulty and needs to be fixed as there is no electricity for them to make use of currently.",http://rrci.rarare.com/photos/2880.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg4MC4xLm1vYmlsZS5qcGVn,4.572768,8.491118,defective transformer,electricity,street light,defective traffic light,poor mobile network service,TRUE
38,2879,NGKWA838584,"The image here shows how people have caused the blockage of a drainage system in Malete town, Ilorin due to the dumping of refuse on the road and in the gutter. It's getting worse by the day.",http://rrci.rarare.com/photos/2879.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg3OS4xLm1vYmlsZS5qcGVn,4.60744,8.482907,open sewage pits,poor healthcare facilities,burst water pipe,lack of healthcare in my locale,public locale is dirty,TRUE
39,2878,NGKWA513977,"Oke-odo, Ilorin is just filled with lots of dirty locals who just derive pleasure in spreading refuse wastes along the road as they please. The trend, obviously, is still in voke.",http://rrci.rarare.com/photos/2878.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg3OC4xLm1vYmlsZS5qcGVn,4.628061,8.48027,public locale is dirty,poor healthcare facilities,burst water pipe,lack of healthcare in my locale,waste management,TRUE
40,2877,NGKWA103073,One of the major contributors (if not the major contributor) of environmental pollution is the illegal or incessant dumping of wastes on the roadside. Thus is the case at Tanke-Elede in Ilorin where the people think it is cheaper and more convenient without thinking of how much damage it poses to their health.,http://rrci.rarare.com/photos/2877.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg3Ny4xLm1vYmlsZS5qcGVn,4.597613,8.489728,waste management,poor healthcare facilities,burst water pipe,lack of healthcare in my locale,public locale is dirty,TRUE
41,2876,NGKWA392490,The long road linking Sao all the way to Malete rural community is in disorder and there hasn't been anything done about it despite efforts to raise the issue. It's looking bad and should be repaired if accidents are to be curbed on the road and movement be made fluid.,http://rrci.rarare.com/photos/2876.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg3Ni4xLm1vYmlsZS5qcGVn,4.60744,8.482907,defective roadworks,potholes - safety hazard,abandoned car,defective public transport,illegal road block,TRUE
42,2875,NGLAG574185,"The very poor state of this health facility in Sao, Malete, Kwara State is highly disturbing and has led to the aggravation of some health issues. The trend will fearfully continue if nothing is done about this.",http://rrci.rarare.com/photos/2875.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg3NS4xLm1vYmlsZS5qcGVn,3.364133,6.464866,poor healthcare facilities,burst water pipe,lack of healthcare in my locale,public locale is dirty,,TRUE
43,2874,NGLAG885918,Some people have dedicated some efforts in ensuring that they want to pollute the environment as they have already started dropping wastes on that axis. It should be curbed quickly.,http://rrci.rarare.com/photos/2874.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg3NC4xLm1vYmlsZS5qcGVn,3.389096,6.450742,waste management,poor healthcare facilities,burst water pipe,lack of healthcare in my locale,public locale is dirty,TRUE
44,2873,NGLAG772147,Construction team fixing a patch of pothole at upper Siluko road is a nice development. We can not but appreciate the government but we also have to remind them that there are lot of road that also need to be revisited. ,http://rrci.rarare.com/photos/2873.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg3My4xLm1vYmlsZS5qcGVn,3.407135,6.458483,rave,customer service,,,,TRUE
45,2872,NGLAG695614,"Inspite of a recently installed solar panel, the traffic light at Oguola Junction suddenly stopped working last 2months,thus further exacerbating the traffic situation at night.",http://rrci.rarare.com/photos/2872.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg3Mi4xLm1vYmlsZS5qcGVn,3.429055,6.461993,street light,defective traffic light,poor mobile network service,,,TRUE
46,2871,NGEDO433587, A double tragedy of bad roads littered with potholes and abandoned trucks makes driving through adolor road a hellish experience. Lot of accidents has occur in this road calling for the government attention but they have refused to attend to it. ,http://rrci.rarare.com/photos/2871.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg3MS4xLm1vYmlsZS5qcGVn,5.597024,6.351488,defective roadworks,potholes - safety hazard,abandoned car,defective public transport,illegal road block,TRUE
47,2870,NGLAG242482,An abandoned Bus at Obanosa Street. Efforts by the landlord association to trace the owner have proved abortive. So we are put a call on the state government should help clear of the clear so as to avoid traffic jam. ,http://rrci.rarare.com/photos/2870.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg3MC4xLm1vYmlsZS5qcGVn,3.455544,6.444646,abandoned car,abandoned truck,obstruction of public road,traffic jam,potholes - safety hazard,TRUE
48,2869,NGEDO687296,An abandoned Bus along the busy Siluko Road. Very unfortunately this bus has been abandoned for closely 2 years and we are calling on the government to help take this bus away. ,http://rrci.rarare.com/photos/2869.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg2OS4xLm1vYmlsZS5qcGVn,5.607016,6.347475,abandoned car,abandoned truck,obstruction of public road,traffic jam,potholes - safety hazard,TRUE
49,2868,NGLAG841486,Yet another abandoned truck at Igbinaduwa Street that have been there for more than two years. We hope the government find it necessary to ton it away ,http://rrci.rarare.com/photos/2868.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg2OC4xLm1vYmlsZS5qcGVn,3.480875,6.43209,abandoned truck,abandoned truck,obstruction of public road,traffic jam,potholes - safety hazard,TRUE
50,2867,NGLAG986850,"A large patch of pothole at Oliha Market, BeninCity that contributed heavily to the evening traffic standstill.",http://rrci.rarare.com/photos/2867.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg2Ny4xLm1vYmlsZS5qcGVn,3.480923,6.447622,potholes - safety hazard,abandoned car,defective public transport,illegal road block,defective roadworks,TRUE
51,2866,NGEDO396829,A pothole that has been a source of irritation to drivers in the Oba Market section in Benin City for several years. It gets worse during rainy season.,http://rrci.rarare.com/photos/2866.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg2Ni4xLm1vYmlsZS5qcGVn,5.620128,6.334826,potholes - safety hazard,abandoned car,defective public transport,illegal road block,defective roadworks,TRUE
52,2865,NGEDO624486,A large of pothole at Oguola Junction that contribute heavily to logjam as it inhibites  the movement of vehicles attempting to connect or Siluko Road.,http://rrci.rarare.com/photos/2865.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg2NS4xLm1vYmlsZS5qcGVn,5.602039,6.346867,potholes - safety hazard,abandoned car,defective public transport,illegal road block,defective roadworks,TRUE
53,2864,NGEDO985290,"Abandoned Bus at Obayuwana Road, off Siluko Road. Last year, a resident had a tragic accident late at night on account of speeding and ramming into the abandoned bus, yet it has not been removed",http://rrci.rarare.com/photos/2864.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg2NC4xLm1vYmlsZS5qcGVn,5.597298,6.356847,abandoned truck,abandoned truck,obstruction of public road,traffic jam,potholes - safety hazard,TRUE
54,2863,NGLAG777120,"A death trap in form of a pothole at Ekenwa Junction Intersection, this particular pothole is the cause of a nightly traffic logjam in 5his area daily. Several pleas to have it done have gone unheeded by the authorities.",http://rrci.rarare.com/photos/2863.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg2My4xLm1vYmlsZS5qcGVn,3.459583,6.448403,defective roadworks,potholes - safety hazard,abandoned car,defective public transport,illegal road block,TRUE
55,2862,NGEDO714477,"Heap of Refuse littered by the Roadside at Oliha Market, Benin City, Edo State. A classic health hazard that leaves residents susceptible to diseases",http://rrci.rarare.com/photos/2862.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg2Mi4xLm1vYmlsZS5qcGVn,5.615343,6.296942,waste management,poor healthcare facilities,burst water pipe,lack of healthcare in my locale,public locale is dirty,TRUE
56,2861,NGBEN971238,The picture above shows a bridge in Afia area of Benue State where the drainage has become a refuse dumping site. The government attention is needed in order to clean the drainage before raining season so as not to lead to flooding.,http://rrci.rarare.com/photos/2861.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg2MS4xLm1vYmlsZS5qcGVn,8.740369,7.336902,flooding,"pollution - streams, rivers, lakes",risk of disease outbreak,waste management,burst water pipe,TRUE
57,2860,NGBEN847453,The picture above shows the state of the administrative office and class room of a secondary school in Afia area in Benue State. The government's attention is needed to help in giving a good learning environment.,http://rrci.rarare.com/photos/2860.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg2MC4xLm1vYmlsZS5qcGVn,8.740369,7.336902,education facilities,education,poor healthcare facilities,lack of healthcare in my locale,customer service,TRUE
58,2859,NGLAG741710,The picture above shows the state of class room of a school in Gbeji area in Benue State. Government attention is really needed so as to give the children a conducive environment to learn.,http://rrci.rarare.com/photos/2859.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg1OS4xLm1vYmlsZS5qcGVn,3.426849,6.456398,education facilities,education,poor healthcare facilities,lack of healthcare in my locale,customer service,TRUE
59,2858,NGOYO664914,"Here is a picture of a dumping site that does not get cared for at NTA in Ibadan, the wastes are neither burnt or not removed and sent to the government approved dumping area. The people in the community need to sort this problem out on time.",http://rrci.rarare.com/photos/2858.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg1OC4xLm1vYmlsZS5qcGVn,3.917103,7.395578,abandoned wasteland,public locale is dirty,"pollution - streams, rivers, lakes",abandoned wasteland,risk of disease outbreak,TRUE
60,2857,NGOYO336616,In the picture is one of the blocks of classrooms of Jenny Memorial High School at Loyala in Ibadan. The school's classrooms have gotten damaged. The government is needed to attend to it as soon as possible.,http://rrci.rarare.com/photos/2857.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjg1Ny4xLm1vYmlsZS5qcGVn,3.925695,7.390869,education facilities,education,poor healthcare facilities,lack of healthcare in my locale,customer service,TRUE
